[GIN] 2022/10/25 - 11:32:31 | 200 |      1.1767ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:32:31 | 200 |      1.1247ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:32:31 | 200 |       1.355ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:33:28 | 200 |     53.0197ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:33:28 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:33:28 | 200 |       914.8µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:34:33 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:34:33 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:34:35 | 200 |      2.1478ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:34:54 | 200 |      1.4452ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:34:55 | 200 |      1.2598ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:35:11 | 200 |      51.134ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:35:11 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:35:11 | 200 |      1.5371ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:35:15 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:35:15 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:35:20 | 200 |      1.8536ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:36:26 | 200 |     50.7991ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:36:26 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:36:26 | 200 |      1.9974ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:36:28 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:36:28 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:36:33 | 200 |      2.0946ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:36:34 | 200 |      1.4218ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:36:56 | 200 |      2.9629ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:37:02 | 200 |     51.5368ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:37:02 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:37:02 | 200 |      1.1099ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:37:26 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:37:26 | 200 |      1.3616ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:37:43 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:37:43 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:37:44 | 200 |     50.5112ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:37:44 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:37:44 | 200 |      1.4429ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:38:01 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:38:01 | 200 |      2.3814ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:38:07 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:38:07 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:38:09 | 200 |      1.7481ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:11 | 200 |      1.0878ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:11 | 200 |      1.9801ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:11 | 200 |      1.6837ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:11 | 200 |      1.6804ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:12 | 200 |      1.0376ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:12 | 200 |      2.1763ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:12 | 200 |       960.5µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:12 | 200 |       918.9µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:12 | 200 |       719.2µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:37 | 200 |     54.5384ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:38:37 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:38:37 | 200 |      1.0975ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:38:40 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:38:40 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:38:45 | 200 |      1.1121ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:39:03 | 200 |     50.3878ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:39:03 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:39:03 | 200 |      2.0959ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:39:06 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:39:06 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
