[GIN] 2022/11/25 - 10:50:11 | 200 |     10.1911ms | 192.168.117.127 | POST     "/api/book/add"
[GIN] 2022/11/25 - 10:50:11 | 200 |      2.0007ms | 192.168.117.127 | GET      "/api/book/all"
[GIN] 2022/11/25 - 10:50:42 | 200 |       917.1µs | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:50:42 | 200 |       1.573ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:50:47 | 200 |      1.9738ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:50:47 | 200 |      1.9843ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:50:48 | 200 |    345.1699ms | 192.168.117.127 | POST     "/api/actuator/control"
[GIN] 2022/11/25 - 10:50:52 | 200 |      2.1197ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:50:52 | 200 |      1.1986ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:50:57 | 200 |      2.1573ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:50:57 | 200 |      1.1606ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:51:02 | 200 |      1.3147ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:51:02 | 200 |      1.2048ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:51:07 | 200 |      2.0819ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:51:07 | 200 |       523.9µs | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:51:11 | 200 |      2.1067ms | 192.168.117.127 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/25 - 10:51:11 | 200 |      1.2266ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:51:12 | 200 |       1.337ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:51:16 | 200 |      1.8142ms | 192.168.117.127 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/25 - 10:51:16 | 200 |      2.2405ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:51:17 | 200 |      1.5902ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:51:21 | 200 |      1.3685ms | 192.168.117.127 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/25 - 10:51:21 | 200 |      1.2681ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:51:22 | 200 |      2.2465ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:51:23 | 200 |      1.3452ms | 192.168.117.127 | GET      "/api/book/all"
[GIN] 2022/11/25 - 10:51:26 | 200 |      1.9986ms | 192.168.117.127 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/25 - 10:51:26 | 200 |      2.9995ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 10:51:27 | 200 |      1.2986ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 10:51:32 | 200 |      9.4374ms | 192.168.117.127 | POST     "/api/book/create"
[GIN] 2022/11/25 - 10:51:32 | 200 |       1.462ms | 192.168.117.127 | GET      "/api/book/all"
[GIN] 2022/11/25 - 10:51:46 | 200 |      1.0747ms | 192.168.117.127 | GET      "/api/book/select/isbn/1"
[GIN] 2022/11/25 - 10:51:52 | 200 |      1.3627ms | 192.168.117.127 | GET      "/api/book/select/isbn/123"
[GIN] 2022/11/25 - 10:51:57 | 200 |      2.1607ms | 192.168.117.127 | GET      "/api/book/select/isbn/132"
[GIN] 2022/11/25 - 10:52:11 | 200 |     52.6261ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/11/25 - 10:52:11 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/11/25 - 10:52:11 | 200 |       193.7µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/11/25 - 10:52:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/11/25 - 10:52:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/11/25 - 10:52:11 | 200 |      1.4038ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/11/25 - 10:52:11 | 200 |      1.0968ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/11/25 - 10:52:12 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/11/25 - 10:52:12 | 200 |      2.5355ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/11/25 - 10:52:12 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/11/25 - 10:52:12 | 200 |       1.498ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/11/25 - 10:52:23 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:23 | 200 |      1.7004ms |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:39 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:39 | 200 |      1.0025ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/11/25 - 10:52:50 | 200 |       2.889ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/11/25 - 10:52:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:51 | 200 |      1.0195ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:53 | 200 |      1.6086ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=10&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:55 | 200 |      1.0611ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=10&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:56 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=2&limit=10&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:56 | 200 |      1.3956ms |             ::1 | GET      "/api/book/all/nondto?page=2&limit=10&sort=%2Bid"
[GIN] 2022/11/25 - 10:52:58 | 200 |      2.0076ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=10&sort=%2Bid"
[GIN] 2022/11/25 - 10:53:00 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:53:00 | 200 |      8.5702ms |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/25 - 10:53:04 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/temperature"
[GIN] 2022/11/25 - 10:53:04 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/11/25 - 10:53:04 | 200 |      1.1337ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/11/25 - 10:53:04 | 200 |      4.6389ms |             ::1 | GET      "/api/sensor/total/temperature"
[GIN] 2022/11/25 - 10:53:04 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/humidity"
[GIN] 2022/11/25 - 10:53:04 | 200 |      5.8784ms |             ::1 | GET      "/api/sensor/total/humidity"
[GIN] 2022/11/25 - 10:53:04 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/light"
[GIN] 2022/11/25 - 10:53:04 | 200 |      6.1681ms |             ::1 | GET      "/api/sensor/total/light"
[GIN] 2022/11/25 - 10:53:04 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/lamp"
[GIN] 2022/11/25 - 10:53:04 | 200 |      5.1561ms |             ::1 | GET      "/api/sensor/total/lamp"
[GIN] 2022/11/25 - 10:53:04 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/fire"
[GIN] 2022/11/25 - 10:53:04 | 200 |      4.5049ms |             ::1 | GET      "/api/sensor/total/fire"
[GIN] 2022/11/25 - 10:53:08 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:08 | 200 |       720.1µs |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:09 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:09 | 200 |      2.1781ms |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:09 | 200 |      1.9247ms |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:09 | 200 |      4.7465ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:10 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/11/25 - 10:53:10 | 200 |      1.9072ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/11/25 - 10:53:10 | 200 |      1.6659ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:11 | 200 |         597µs |             ::1 | GET      "/api/sensor/recent/light/7"
[GIN] 2022/11/25 - 10:53:12 | 200 |      2.3436ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/25 - 10:53:12 | 200 |      1.7377ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
