[GIN] 2022/11/07 - 08:32:50 | 200 |       991.4µs |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:50 | 200 |      2.1482ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:52 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:52 | 200 |      1.8284ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:52 | 200 |      2.2928ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:55 | 200 |      1.6121ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:55 | 200 |      1.1832ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:57 | 200 |      2.2722ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:32:57 | 200 |      2.2844ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:33:00 | 200 |       1.275ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:33:00 | 200 |      1.4317ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:33:02 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:33:02 | 200 |      2.1141ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:33:02 | 200 |      1.4049ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:33:05 | 200 |      1.6153ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:33:05 | 200 |       684.9µs |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:33:07 | 200 |      2.2425ms |             ::1 | GET      "/api/sensor/recent/humidity/7"
[GIN] 2022/11/07 - 08:33:08 | 200 |      1.5967ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:33:10 | 200 |      2.3633ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:33:10 | 200 |      1.4168ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:33:13 | 200 |      1.3251ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:33:15 | 200 |      1.7397ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:33:15 | 200 |      1.2119ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
